"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,427064,,
"AUT","Austria","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,308325,,
"BEL","Belgium","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,386006,,
"CAN","Canada","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,423849,,
"DNK","Denmark","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,118637,,
"FIN","Finland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,200827,,
"FRA","France","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,280653,,
"DEU","Germany","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,259667,,
"GRC","Greece","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,150134,,
"HUN","Hungary","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,104458,,
"IRL","Ireland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,217130,,
"ITA","Italy","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,279889,,
"JPN","Japan","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,305878,,
"KOR","Korea","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,285980,,
"LUX","Luxembourg","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,769053,,
"NLD","Netherlands","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,157824,,
"NZL","New Zealand","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,388514,,
"NOR","Norway","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,228936,,
"POL","Poland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,210991,,
"PRT","Portugal","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,232666,,
"SVK","Slovak Republic","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,119696,,
"ESP","Spain","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,373548,,
"GBR","United Kingdom","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,548392,,
"USA","United States","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,632100,,
"CHL","Chile","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,100967,,
"EST","Estonia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,159373,,
"LVA","Latvia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,70160,,
"SVN","Slovenia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,203044,,
